From:  Seoul, South Korea
To  :  Toronto, Canada
       Luxembourg, Luxembourg
       Seattle, United States
       Dhaka, Bangladesh
       Guatemala City, Guatemala
From:  Tokyo, Japan
To  :  Ottawa, Canada
       Vilnius, Lithuania
       Rome, Italy
From:  Hong Kong, SAR
To  :  New York City, United States
       New Delhi, India
       Washington, United States
       Dublin, Ireland
       Lisbon, Portugal
       Vienna, Austria
       Santiago, Chile
       Rio de Janeiro, Brazil
       Berlin, Germany
From:  London, United Kingdom
To  :  Accra, Ghana
From:  Osaka, Japan
To  :  Guatemala City, Guatemala
       Helsinki, Finland
       Detroit, United States
       Vienna, Austria
       Shenzhen, People's Republic of China
       Harare, Zimbabwe
       Montreal, Canada
       Jakarta, Indonesia
       Birmingham, United Kingdom
From:  Geneva, Switzerland
To  :  Ljubljana, Slovenia
       Kiev, Ukraine
       Pittsburgh, United States
       Bratislava, Slovakia
       Mumbai, India
       Luxembourg, Luxembourg
       Rome, Italy
       Lisbon, Portugal
       Abu Dhabi, United Arab Emirates
From:  Copenhagen, Denmark
To  :  Beijing, People's Republic of China
       Pittsburgh, United States
From:  Zurich, Switzerland
To  :  Seattle, United States
       Caracas, Venezuela
       Manila, Philippines
From:  Oslo, Norway
To  :  Dusseldorf, Germany
       Shanghai, People's Republic of China
       New Delhi, India
       White Plains, United States
       Pittsburgh, United States
       Denver, United States
       Rome, Italy
       Quito, Ecuador
       Buenos Aires, Argentina
From:  New York City, United States
To  :  Abidjan, Cote d'Ivoire
       Casablanca, Morocco
       Jakarta, Indonesia
       Copenhagen, Denmark
       Kingston, Jamaica
From:  St. Petersburg, Russia
To  :  Amman, Jordan
From:  Milan, Italy
To  :  Houston, United States
       Mexico City, Mexico
From:  Beijing, People's Republic of China
To  :  Ljubljana, Slovenia
       Kuala Lumpur, Malaysia
       Dhaka, Bangladesh
       Melbourne, Australia
       Sydney, Australia
       Casablanca, Morocco
       Munich, Germany
       Istanbul, Turkey
From:  Istanbul, Turkey
To  :  Winston-Salem, United States
       Sao Paulo, Brazil
       Oslo, Norway
       Vienna, Austria
       Tokyo, Japan
       Nairobi, Kenya
From:  Paris, France
To  :  Montevideo, Uruguay
       St. Louis, United States
       Honolulu, United States
From:  Singapore, Singapore
To  :  Osaka, Japan
       Geneva, Switzerland
       Sofia, Bulgaria
       Milan, Italy
From:  Dublin, Ireland
To  :  Bogot, Colombia
       Melbourne, Australia
       Moscow, Russia
       Frankfurt, Germany
       Copenhagen, Denmark
       Limassol, Cyprus
       Panama City, Panama
From:  Sydney, Australia
To  :  Lyon, France
       Bangalore, India
       Shenzhen, People's Republic of China
       Zurich, Switzerland
       Oslo, Norway
       Bogot, Colombia
       Colombo, Sri Lanka
From:  Shanghai, People's Republic of China
To  :  Karachi, Pakistan
       New York City, United States
       Abidjan, Cote d'Ivoire
From:  Rome, Italy
To  :  Athens, Greece
       Miami, United States
       Amman, Jordan
       Detroit, United States
